日期,省级,地区,面积,人口,确诊,疑似,治愈,死亡,现存确诊
2020-02-29,,津南区,-1,-1,2,0,1,0,1
2020-02-29,,外地来津人员,-1,-1,6,0,6,0,0
2020-02-29,,东丽区,-1,-1,4,0,4,0,0
2020-02-29,,河西区,-1,-1,4,0,4,0,0
2020-02-29,,西青区,-1,-1,4,0,4,0,0
2020-02-29,,滨海新区,-1,-1,3,0,3,0,0
2020-02-29,,武清区,-1,-1,2,0,2,0,0
2020-02-29,,红桥区,-1,-1,2,0,2,0,0
2020-02-29,,乌鲁木齐,1.5861411261050038,311.03,23,0,17,0,6
2020-02-29,,吐鲁番市,-1,-1,3,0,1,0,2
2020-02-29,,兵团第九师,-1,-1,4,0,2,1,1
2020-02-29,,昌吉州,-1,-1,4,0,3,0,1
2020-02-29,,兵团第八师石河子市,-1,-1,4,0,2,1,1
2020-02-29,,伊犁州,6.2924867302655,248.26,18,0,18,0,0
2020-02-29,,兵团第四师,-1,-1,10,0,9,1,0
2020-02-29,,巴州,-1,-1,3,0,3,0,0
2020-02-29,,兵团第十二师,-1,-1,3,0,3,0,0
2020-02-29,,兵团第六师五家渠市,-1,-1,2,0,2,0,0
2020-02-29,,兵团第七师,-1,-1,1,0,1,0,0
2020-02-29,,阿克苏地区,-1,-1,1,0,1,0,0
2020-02-29,,成都,1.134401803191499,1404.76,143,0,88,3,52
2020-02-29,,甘孜州,14.115807097912997,109.19,78,0,31,0,47
2020-02-29,,达州,1.5731934669675045,546.81,42,0,26,0,16
2020-02-29,,南充,1.1809376967214984,627.86,39,0,23,0,16
2020-02-29,,巴中,1.1742044561829978,328.38,24,0,12,0,12
2020-02-29,,德阳,0.5620572541579985,361.58,18,0,10,0,8
2020-02-29,,广安,0.5964227038760007,320.55,30,0,23,0,7
2020-02-29,,绵阳,1.9298029414195,461.39,22,0,15,0,7
2020-02-29,,泸州,1.1282759738965005,421.84,24,0,20,0,4
2020-02-29,,内江,0.499990622773,370.28,22,0,18,0,4
2020-02-29,,凉山州,5.509447190631998,453.28,13,0,10,0,3
2020-02-29,,遂宁,0.5006303262270013,325.26,17,0,15,0,2
2020-02-29,,宜宾,1.224876962325,447.2,12,0,10,0,2
2020-02-29,,资阳,0.7463513648824996,366.51,4,0,2,0,2
2020-02-29,,眉山,0.6724053871495027,295.05,8,0,7,0,1
2020-02-29,,雅安,1.4076354777390019,150.73,7,0,6,0,1
2020-02-29,,攀枝花,0.6748380059720019,121.41,16,0,16,0,0
2020-02-29,,自贡,0.4057862597929994,267.89,9,0,9,0,0
2020-02-29,,广元,1.5631298602035046,248.41,6,0,6,0,0
2020-02-29,,乐山,1.1888597836745,323.58,3,0,3,0,0
2020-02-29,,阿坝州,7.934765116265499,89.87,1,0,1,0,0
2020-02-29,,海口,0.23317778111200513,204.62,39,0,32,0,7
2020-02-29,,三亚,0.23808333571750312,68.54,54,0,50,1,3
2020-02-29,,儋州,0.32925306065700005,93.24,15,0,12,1,2
2020-02-29,,昌江,0.15077409621850188,22.38,7,0,5,0,2
2020-02-29,,保亭,0.09962710166199856,14.67,3,0,1,0,2
2020-02-29,,万宁,0.22089098851499797,54.56,13,0,12,0,1
2020-02-29,,澄迈,0.2083982186470002,46.72,9,0,7,1,1
2020-02-29,,东方,0.23149737895350153,40.83,3,0,2,0,1
2020-02-29,,琼海,0.15819697186700296,48.32,6,0,5,1,0
2020-02-29,,临高,0.1327837556200011,42.79,6,0,6,0,0
2020-02-29,,陵水,0.11868194568350147,32.05,4,0,4,0,0
2020-02-29,,定安,0.10165201064399798,28.46,3,0,2,1,0
2020-02-29,,文昌,0.32748188986099663,53.74,3,0,3,0,0
2020-02-29,,乐东,0.2661026580919982,45.89,2,0,2,0,0
2020-02-29,,琼中,0.23190695270999975,17.41,1,0,1,0,0
2020-02-29,,长春,2.319484886936002,767.71,45,0,39,0,6
2020-02-29,,四平市,-1,-1,15,0,11,1,3
2020-02-29,,辽源,0.566505715986495,117.66,7,0,4,0,3
2020-02-29,,通化,1.6926032857449946,232.52,6,0,3,0,3
2020-02-29,,公主岭,-1,-1,6,0,5,0,1
2020-02-29,,白城,2.953236995455999,203.31,1,0,0,0,1
2020-02-29,,吉林市,3.097404343899494,441.47,5,0,5,0,0
2020-02-29,,延边,4.784335375719999,227.16,5,0,5,0,0
2020-02-29,,松原,2.4063623718794944,288.11,2,0,2,0,0
2020-02-29,,梅河口,-1,-1,1,0,1,0,0
2020-02-29,,温州,1.4495038210134883,912.21,504,0,432,1,71
2020-02-29,,台州,1.1963781495364953,596.88,146,0,107,0,39
2020-02-29,,省十里丰监狱,-1,-1,36,0,5,0,31
2020-02-29,,宁波,1.2360499746855056,760.57,157,0,146,0,11
2020-02-29,,杭州,1.576297902280001,870.04,169,0,159,0,10
2020-02-29,,嘉兴,0.5530864839019942,450.17,45,0,35,0,10
2020-02-29,,绍兴,0.7713904373389949,491.22,42,0,36,0,6
2020-02-29,,金华,1.0131651361780083,536.16,55,0,51,0,4
2020-02-29,,舟山,1.2300514719260116,112.13,10,0,7,0,3
2020-02-29,,衢州,0.818557118635503,212.27,14,0,12,0,2
2020-02-29,,湖州,0.5493695484839975,289.35,10,0,9,0,1
2020-02-29,,丽水,1.5881297976215025,211.7,17,0,17,0,0
2020-02-29,,西安,0.9904372905204973,846.78,120,0,100,1,19
2020-02-29,,渭南,1.2769465812264982,528.61,15,0,9,0,6
2020-02-29,,汉中,2.6152665041634964,341.62,26,0,22,0,4
2020-02-29,,安康,2.265394231443501,262.99,26,0,23,0,3
2020-02-29,,铜川,0.3850276387460003,83.44,8,0,6,0,2
2020-02-29,,咸阳,1.0151158926610002,489.48,17,0,16,0,1
2020-02-29,,宝鸡,1.7763265687969971,371.67,13,0,12,0,1
2020-02-29,,商洛,1.903245252419503,234.17,7,0,6,0,1
2020-02-29,,延安,3.7158056328815046,218.7,8,0,8,0,0
2020-02-29,,榆林,4.4128386881885024,335.14,3,0,3,0,0
2020-02-29,,韩城,-1,-1,1,0,1,0,0
2020-02-29,,杨凌,-1,-1,1,0,1,0,0
2020-02-29,,锡林郭勒盟,22.659345156832504,102.8,9,0,3,0,6
2020-02-29,,包头,2.998206280194504,265.04,11,0,6,0,5
2020-02-29,,通辽,6.62317219217999,313.92,7,0,3,0,4
2020-02-29,,呼和浩特,1.8269307125374956,286.66,7,0,4,0,3
2020-02-29,,呼伦贝尔,31.498843800391494,254.93,7,0,4,0,3
2020-02-29,,巴彦淖尔,6.992892146592011,166.99,8,0,6,0,2
2020-02-29,,鄂尔多斯,9.071011100066507,194.07,11,0,10,0,1
2020-02-29,,赤峰,9.544249523424511,434.12,9,0,8,0,1
2020-02-29,,乌兰察布,5.910194737302002,214.36,3,0,2,0,1
2020-02-29,,乌海市,0.1942287268849939,53.29,2,0,2,0,0
2020-02-29,,兴安盟,6.3116546912065035,161.33,1,0,1,0,0
2020-02-29,,南京,0.6285515887520032,800.47,93,0,58,0,35
2020-02-29,,苏州,0.8204010219355032,1046.6,87,0,62,0,25
2020-02-29,,连云港,0.8159310723420018,439.39,48,0,35,0,13
2020-02-29,,淮安,0.9680673242109932,479.99,66,0,55,0,11
2020-02-29,,徐州,1.0985177138880005,858.05,79,0,71,0,8
2020-02-29,,无锡,0.43760370069250126,637.26,55,0,48,0,7
2020-02-29,,常州,0.4152884948464995,459.2,51,0,48,0,3
2020-02-29,,南通,1.0110616126635088,728.28,40,0,37,0,3
2020-02-29,,镇江,0.3662685055269993,311.34,12,0,10,0,2
2020-02-29,,宿迁,0.8315742696999976,471.56,13,0,12,0,1
2020-02-29,,泰州,0.5569458937815011,461.86,37,0,37,0,0
2020-02-29,,盐城,1.6632054867270014,726.02,27,0,27,0,0
2020-02-29,,扬州,0.6394090231379996,445.98,23,0,23,0,0
2020-02-29,,上海,0.8780426080414991,2301.91,337,0,287,3,47
2020-02-29,,外地来沪人员,-1,-1,111,0,94,1,16
2020-02-29,,浦东新区,-1,-1,60,0,52,0,8
2020-02-29,,宝山区,-1,-1,21,0,14,0,7
2020-02-29,,静安区,-1,-1,16,0,13,0,3
2020-02-29,,徐汇区,-1,-1,18,0,16,0,2
2020-02-29,,松江区,-1,-1,14,0,12,0,2
2020-02-29,,嘉定区,-1,-1,9,0,7,0,2
2020-02-29,,黄浦区,-1,-1,6,0,4,0,2
2020-02-29,,闵行区,-1,-1,19,0,18,0,1
2020-02-29,,普陀区,-1,-1,11,0,10,0,1
2020-02-29,,奉贤区,-1,-1,9,0,8,0,1
2020-02-29,,虹口区,-1,-1,7,0,6,0,1
2020-02-29,,青浦区,-1,-1,6,0,5,0,1
2020-02-29,,金山区,-1,-1,4,0,3,0,1
2020-02-29,,崇明区,-1,-1,4,0,3,0,1
2020-02-29,,长宁区,-1,-1,13,0,13,0,0
2020-02-29,,杨浦区,-1,-1,9,0,9,0,0
2020-02-29,,银川,0.7520282265240023,199.31,34,0,32,0,2
2020-02-29,,吴忠,1.609251224265504,127.38,28,0,27,0,1
2020-02-29,,中卫,1.3298011732364938,108.08,4,0,3,0,1
2020-02-29,,固原,1.1248352288439982,122.82,5,0,5,0,0
2020-02-29,,宁东,-1,-1,1,0,1,0,0
2020-02-29,,石嘴山,0.4159827066904967,72.55,1,0,1,0,0
2020-02-29,,昆明,1.8836785114719978,643.2,53,0,48,0,5
2020-02-29,,昭通,2.0531379306715007,521.3,25,0,20,0,5
2020-02-29,,玉溪,1.3301567678604986,230.4,14,0,12,1,1
2020-02-29,,曲靖,2.602648463237001,585.5,13,0,12,0,1
2020-02-29,,红河州,-1,-1,9,0,8,0,1
2020-02-29,,保山,1.7043474102060021,250.6,9,0,8,0,1
2020-02-29,,德宏州,-1,-1,5,0,4,0,1
2020-02-29,,西双版纳,1.6706045598835002,113.4,15,0,14,1,0
2020-02-29,,大理州,-1,-1,13,0,13,0,0
2020-02-29,,丽江,1.870422593126001,124.5,7,0,7,0,0
2020-02-29,,普洱,3.9023463142550066,254.3,4,0,4,0,0
2020-02-29,,楚雄州,-1,-1,4,0,4,0,0
2020-02-29,,文山州,-1,-1,2,0,2,0,0
2020-02-29,,临沧,2.095454217296998,243.0,1,0,1,0,0
2020-02-29,,合肥,0.7141859100130005,570.2,174,0,143,1,30
2020-02-29,,阜阳,0.9757776378619952,760.0,155,0,134,0,21
2020-02-29,,六安,1.7548455696660021,561.2,69,0,57,0,12
2020-02-29,,蚌埠,0.5758134591680005,316.4,160,0,144,5,11
2020-02-29,,亳州,0.8270503782710025,485.1,108,0,101,0,7
2020-02-29,,淮南,0.203485260952501,233.4,27,0,21,0,6
2020-02-29,,宿州,0.9683972246279956,535.3,41,0,36,0,5
2020-02-29,,马鞍山,0.16143111103550198,136.6,38,0,33,0,5
2020-02-29,,池州,0.785251059631998,140.3,17,0,13,0,4
2020-02-29,,安庆,1.4469175857445025,531.1,83,0,80,0,3
2020-02-29,,芜湖,0.31862525966850364,226.3,34,0,31,0,3
2020-02-29,,淮北,0.2658799498955006,211.4,27,0,24,0,3
2020-02-29,,滁州,1.2947145401510003,393.8,13,0,11,0,2
2020-02-29,,黄山,0.9039941829220032,135.9,9,0,7,0,2
2020-02-29,,宣城,1.1576498477834996,253.3,6,0,4,0,2
2020-02-29,,铜陵,0.10055030118799782,72.4,29,0,29,0,0
2020-02-29,,北京,1.7347041510244987,1961.2,411,0,271,8,132
2020-02-29,,朝阳区,-1,-1,71,0,0,0,71
2020-02-29,,海淀区,-1,-1,62,0,0,0,62
2020-02-29,,西城区,-1,-1,53,0,0,0,53
2020-02-29,,丰台区,-1,-1,42,0,3,0,39
2020-02-29,,大兴区,-1,-1,39,0,2,0,37
2020-02-29,,昌平区,-1,-1,29,0,0,0,29
2020-02-29,,外地来京人员,-1,-1,25,0,2,0,23
2020-02-29,,通州区,-1,-1,19,0,1,0,18
2020-02-29,,房山区,-1,-1,16,0,3,0,13
2020-02-29,,石景山区,-1,-1,14,0,1,0,13
2020-02-29,,东城区,-1,-1,13,0,1,0,12
2020-02-29,,顺义区,-1,-1,10,0,0,0,10
2020-02-29,,怀柔区,-1,-1,7,0,0,0,7
2020-02-29,,密云区,-1,-1,7,0,0,0,7
2020-02-29,,门头沟区,-1,-1,3,0,2,0,1
2020-02-29,,延庆区,-1,-1,1,0,0,0,1
2020-02-29,,南昌,0.6831608252979983,504.26,230,0,202,0,28
2020-02-29,,九江,1.7491073419035064,472.88,118,0,94,0,24
2020-02-29,,上饶,2.104325891374505,657.97,123,0,111,0,12
2020-02-29,,新余,0.2902023827720005,113.89,130,0,120,0,10
2020-02-29,,宜春,1.7166022616724972,541.96,106,0,96,0,10
2020-02-29,,抚州,1.7183845499360049,391.23,72,0,63,0,9
2020-02-29,,萍乡,0.3498326164414998,185.45,33,0,24,0,9
2020-02-29,,吉安,2.2975841324009996,481.03,22,0,15,0,7
2020-02-29,,鹰潭,0.3276724127320001,112.49,18,0,12,0,6
2020-02-29,,赣州,3.5403323056869973,836.84,76,0,70,1,5
2020-02-29,,景德镇,0.48908868519549653,158.75,6,0,3,0,3
2020-02-29,,赣江新区,-1,-1,1,0,1,0,0
2020-02-29,,重庆,7.708797246292492,2884.62,576,0,422,6,148
2020-02-29,,万州区,-1,-1,118,0,84,4,30
2020-02-29,,潼南区,-1,-1,18,0,8,0,10
2020-02-29,,江北区,-1,-1,28,0,19,0,9
2020-02-29,,綦江区,-1,-1,23,0,14,0,9
2020-02-29,,合川区,-1,-1,23,0,15,0,8
2020-02-29,,长寿区,-1,-1,22,0,14,0,8
2020-02-29,,垫江县,-1,-1,20,0,12,0,8
2020-02-29,,南岸区,-1,-1,15,0,8,0,7
2020-02-29,,沙坪坝区,-1,-1,9,0,3,0,6
2020-02-29,,奉节县,-1,-1,22,0,17,0,5
2020-02-29,,九龙坡区,-1,-1,21,0,15,1,5
2020-02-29,,大足区,-1,-1,14,0,10,0,4
2020-02-29,,丰都县,-1,-1,10,0,6,0,4
2020-02-29,,云阳县,-1,-1,25,0,22,0,3
2020-02-29,,忠县,-1,-1,21,0,18,0,3
2020-02-29,,渝中区,-1,-1,20,0,17,0,3
2020-02-29,,两江新区,-1,-1,17,0,14,0,3
2020-02-29,,石柱县,-1,-1,15,0,12,0,3
2020-02-29,,铜梁区,-1,-1,10,0,7,0,3
2020-02-29,,巴南区,-1,-1,6,0,3,0,3
2020-02-29,,渝北区,-1,-1,17,0,15,0,2
2020-02-29,,巫溪县,-1,-1,14,0,12,0,2
2020-02-29,,巫山县,-1,-1,10,0,8,0,2
2020-02-29,,荣昌区,-1,-1,9,0,7,0,2
2020-02-29,,涪陵区,-1,-1,5,0,3,0,2
2020-02-29,,开州区,-1,-1,21,0,19,1,1
2020-02-29,,大渡口区,-1,-1,7,0,6,0,1
2020-02-29,,彭水县,-1,-1,2,0,1,0,1
2020-02-29,,万盛经开区,-1,-1,1,0,0,0,1
2020-02-29,,璧山区,-1,-1,9,0,9,0,0
2020-02-29,,永川区,-1,-1,5,0,5,0,0
2020-02-29,,江津区,-1,-1,4,0,4,0,0
2020-02-29,,梁平区,-1,-1,4,0,4,0,0
2020-02-29,,高新区,-1,-1,4,0,4,0,0
2020-02-29,,黔江区,-1,-1,2,0,2,0,0
2020-02-29,,城口县,-1,-1,2,0,2,0,0
2020-02-29,,武隆区,-1,-1,1,0,1,0,0
2020-02-29,,秀山县,-1,-1,1,0,1,0,0
2020-02-29,,酉阳县,-1,-1,1,0,1,0,0
2020-02-29,,晋中,1.667818538574502,324.94,37,0,27,0,10
2020-02-29,,大同,1.4844386774189957,331.81,12,0,8,0,4
2020-02-29,,晋城,0.9365472160749982,227.92,10,0,8,0,2
2020-02-29,,太原,0.707277178398501,420.16,20,0,19,0,1
2020-02-29,,运城,1.4100644780725033,513.48,19,0,18,0,1
2020-02-29,,长治,1.4035109391819989,333.46,8,0,7,0,1
2020-02-29,,忻州,2.6118367327234995,306.75,7,0,6,0,1
2020-02-29,,朔州,1.113396851633501,171.49,8,0,8,0,0
2020-02-29,,吕梁,2.1575578728975016,372.71,6,0,6,0,0
2020-02-29,,阳泉,0.46858106121750376,136.85,4,0,4,0,0
2020-02-29,,临汾,2.035111797173507,431.66,2,0,2,0,0
2020-02-29,,平凉,1.1011960941875036,206.8,9,0,6,0,3
2020-02-29,,兰州,1.3372283581845001,361.62,36,0,32,2,2
2020-02-29,,定西,1.9421789714069975,269.86,9,0,8,0,1
2020-02-29,,白银,2.0168245949220016,170.88,4,0,3,0,1
2020-02-29,,庆阳,2.7257218799849983,221.12,3,0,2,0,1
2020-02-29,,天水,1.4049973696890026,326.25,12,0,12,0,0
2020-02-29,,甘南,3.5748597872480063,68.91,8,0,8,0,0
2020-02-29,,陇南,2.705466867290004,256.77,4,0,4,0,0
2020-02-29,,临夏,0.8013671206550016,194.67,3,0,3,0,0
2020-02-29,,张掖,4.020668615107509,119.95,2,0,2,0,0
2020-02-29,,金昌,0.7338372710840012,46.41,1,0,1,0,0
2020-02-29,,遵义,2.8268377720425013,612.7,32,0,19,0,13
2020-02-29,,贵阳,0.7305142600200011,432.46,36,0,27,1,8
2020-02-29,,毕节,2.442968591783999,653.64,23,0,15,0,8
2020-02-29,,黔南州,2.3618951508790005,323.12,17,0,15,0,2
2020-02-29,,六盘水,0.8934352846005008,285.12,10,0,8,1,1
2020-02-29,,铜仁,1.6523493412045052,309.24,10,0,10,0,0
2020-02-29,,黔东南州,2.7416879305384976,348.06,10,0,10,0,0
2020-02-29,,安顺,0.8317617393965022,229.73,4,0,4,0,0
2020-02-29,,黔西南州,1.5062954715350025,280.59,4,0,4,0,0
2020-02-29,,拉萨,2.7689106824754957,55.94,1,0,1,0,0
2020-02-29,,西宁,0.736268710876999,220.87,15,0,15,0,0
2020-02-29,,海北州,3.2893505429809937,27.33,3,0,3,0,0
2020-03-01,,平凉,1.1011960941875036,206.8,9,0,6,0,3
2020-03-01,,兰州,1.3372283581845001,361.62,36,0,32,2,2
2020-03-01,,定西,1.9421789714069975,269.86,9,0,8,0,1
2020-03-01,,庆阳,2.7257218799849983,221.12,3,0,2,0,1
2020-03-01,,天水,1.4049973696890026,326.25,12,0,12,0,0
2020-03-01,,甘南,3.5748597872480063,68.91,8,0,8,0,0
2020-03-01,,白银,2.0168245949220016,170.88,4,0,4,0,0
2020-03-01,,陇南,2.705466867290004,256.77,4,0,4,0,0
2020-03-01,,临夏,0.8013671206550016,194.67,3,0,3,0,0
2020-03-01,,张掖,4.020668615107509,119.95,2,0,2,0,0
2020-03-01,,金昌,0.7338372710840012,46.41,1,0,1,0,0
2020-03-01,,待明确地区,-1,-1,0,0,0,0,0,0,0,2,10,1,2,0,261,0,6,0,0,2,8,-2,-16,-1,-2,-2,-269
2020-03-01,,郑州,0.7436224701159972,862.65,157,0,134,0,23
2020-03-01,,信阳,1.8063222310380052,610.87,274,0,261,2,11
2020-03-01,,开封,0.6149629086720005,467.62,26,0,18,0,8
2020-03-01,,周口,1.1653918402784944,895.32,76,0,69,1,6
2020-03-01,,安阳,0.734454433476996,517.28,53,0,47,0,6
2020-03-01,,南阳,2.560365251078001,1026.3,156,0,149,3,4
2020-03-01,,漯河,0.2624676266980011,254.41,35,0,33,0,2
2020-03-01,,濮阳,0.419488123707002,359.85,17,0,15,0,2
2020-03-01,,济源,-1,-1,5,0,3,0,2
2020-03-01,,商丘,1.0476055076755006,736.25,91,0,87,3,1
2020-03-01,,新乡,0.8167292759264962,570.78,57,0,53,3,1
2020-03-01,,许昌,0.4862347905985042,430.72,39,0,38,0,1
2020-03-01,,鹤壁,0.21324807764649992,156.91,19,0,18,0,1
2020-03-01,,驻马店,1.4540129104849968,723.07,139,0,139,0,0
2020-03-01,,平顶山,0.7689777367460003,490.44,58,0,57,1,0
2020-03-01,,焦作,0.5846726850570001,353.99,32,0,31,1,0
2020-03-01,,洛阳,1.4903102682595049,654.95,31,0,30,1,0
2020-03-01,,三门峡,0.9729644635124955,223.39,7,0,6,1,0
2020-03-01,,深圳,0.248247423231,1035.79,417,0,308,3,106
2020-03-01,,广州,0.6469918438460005,1270.08,346,0,260,1,85
2020-03-01,,佛山,0.33384726100150036,719.43,84,0,47,0,37
2020-03-01,,东莞,0.2182080035469986,822.02,99,0,66,1,32
2020-03-01,,珠海,0.4425482619165006,156.02,98,0,75,1,22
2020-03-01,,江门,1.0185152855954962,444.89,23,0,13,0,10
2020-03-01,,中山,0.1619640380069983,312.09,66,0,59,0,7
2020-03-01,,湛江,1.3880598169125022,699.33,22,0,17,0,5
2020-03-01,,肇庆,1.3205938088554963,391.81,19,0,14,1,4
2020-03-01,,梅州,1.4134977831709985,424.01,16,0,12,0,4
2020-03-01,,茂名,1.0471913485020006,581.78,14,0,10,0,4
2020-03-01,,汕头,0.2916859417624988,539.1,25,0,22,0,3
2020-03-01,,阳江,0.8144016433255046,242.18,14,0,11,0,3
2020-03-01,,惠州,1.0815242989990015,459.7,62,0,60,0,2
2020-03-01,,揭阳,0.49869732582999865,587.7,8,0,6,0,2
2020-03-01,,韶关,1.6478486001969945,282.66,10,0,9,0,1
2020-03-01,,清远,1.6904956149425052,369.84,12,0,12,0,0
2020-03-01,,汕尾,0.5330772671164967,293.57,5,0,5,0,0
2020-03-01,,潮州,0.2973764374529967,266.98,5,0,5,0,0
2020-03-01,,河源,1.3898848611100032,295.3,4,0,4,0,0
2020-03-01,,唐山,1.5434797901170012,757.73,58,0,48,1,9
2020-03-01,,张家口,3.932375299568003,434.55,41,0,35,0,6
2020-03-01,,石家庄,1.446633158582498,1016.38,29,0,27,0,2
2020-03-01,,邯郸,1.2127456251975053,917.47,32,0,31,0,1
2020-03-01,,沧州,1.4861333201364904,713.41,48,0,45,3,0
2020-03-01,,保定,2.3095725617825056,1119.44,32,0,32,0,0
2020-03-01,,廊坊,0.6674507153039924,435.88,30,0,30,0,0
2020-03-01,,邢台,1.2648502546879965,710.41,23,0,22,1,0
2020-03-01,,秦皇岛,0.9330899534014897,298.76,10,0,9,1,0
2020-03-01,,衡水,0.9025139755064983,434.08,8,0,8,0,0
2020-03-01,,承德,4.246303427033511,347.32,7,0,7,0,0
2020-03-01,,天津,1.2601887440589987,1293.82,136,0,111,3,22
2020-03-01,,宝坻区,-1,-1,60,0,45,2,13
2020-03-01,,河东区,-1,-1,15,0,11,1,3
2020-03-01,,河北区,-1,-1,12,0,10,0,2
2020-03-01,,南开区,-1,-1,6,0,4,0,2
2020-03-01,,北辰区,-1,-1,6,0,5,0,1
2020-03-01,,和平区,-1,-1,6,0,5,0,1
2020-03-01,,宁河区,-1,-1,4,0,3,0,1
2020-03-01,,津南区,-1,-1,2,0,1,0,1
2020-03-01,,外地来津人员,-1,-1,6,0,6,0,0
2020-03-01,,东丽区,-1,-1,4,0,4,0,0
2020-03-01,,河西区,-1,-1,4,0,4,0,0
2020-03-01,,西青区,-1,-1,4,0,4,0,0
2020-03-01,,滨海新区,-1,-1,3,0,3,0,0
2020-03-01,,武清区,-1,-1,2,0,2,0,0
2020-03-01,,红桥区,-1,-1,2,0,2,0,0
2020-03-01,,大连,2.319433387931495,669.04,19,0,15,0,4
2020-03-01,,葫芦岛,1.1951573086964946,262.35,12,0,7,1,4
2020-03-01,,沈阳,1.3981715383095008,810.62,28,0,25,0,3
2020-03-01,,朝阳,2.122034206734496,304.46,6,0,4,0,2
2020-03-01,,鞍山,0.9897154053655027,364.59,4,0,2,0,2
2020-03-01,,锦州,1.0979171950555036,312.65,12,0,11,0,1
2020-03-01,,丹东,1.6499481981565005,244.47,8,0,7,0,1
2020-03-01,,铁岭,1.4236153921955053,271.77,7,0,6,0,1
2020-03-01,,盘锦,0.414550974812002,139.25,11,0,11,0,0
2020-03-01,,阜新,1.1331284515015012,181.93,8,0,8,0,0
2020-03-01,,本溪,0.902586666504503,170.95,3,0,3,0,0
2020-03-01,,辽阳,0.5097820268214993,185.88,3,0,3,0,0
2020-03-01,,营口,0.6238320176860037,242.85,1,0,1,0,0
2020-03-01,,成都,1.134401803191499,1404.76,143,0,88,3,52
2020-03-01,,甘孜州,14.115807097912997,109.19,78,0,40,0,38
2020-03-01,,达州,1.5731934669675045,546.81,42,0,27,0,15
2020-03-01,,南充,1.1809376967214984,627.86,39,0,24,0,15
2020-03-01,,巴中,1.1742044561829978,328.38,24,0,12,0,12
2020-03-01,,德阳,0.5620572541579985,361.58,18,0,10,0,8
2020-03-01,,绵阳,1.9298029414195,461.39,22,0,16,0,6
2020-03-01,,广安,0.5964227038760007,320.55,30,0,25,0,5
2020-03-01,,泸州,1.1282759738965005,421.84,24,0,20,0,4
2020-03-01,,内江,0.499990622773,370.28,22,0,18,0,4
2020-03-01,,凉山州,5.509447190631998,453.28,13,0,10,0,3
2020-03-01,,遂宁,0.5006303262270013,325.26,17,0,15,0,2
2020-03-01,,宜宾,1.224876962325,447.2,12,0,10,0,2
2020-03-01,,资阳,0.7463513648824996,366.51,4,0,2,0,2
2020-03-01,,眉山,0.6724053871495027,295.05,8,0,7,0,1
2020-03-01,,雅安,1.4076354777390019,150.73,7,0,6,0,1
2020-03-01,,攀枝花,0.6748380059720019,121.41,16,0,16,0,0
2020-03-01,,自贡,0.4057862597929994,267.89,9,0,9,0,0
2020-03-01,,广元,1.5631298602035046,248.41,6,0,6,0,0
2020-03-01,,乐山,1.1888597836745,323.58,3,0,3,0,0
2020-03-01,,阿坝州,7.934765116265499,89.87,1,0,1,0,0
2020-03-01,,哈尔滨,6.125849508329008,1063.6,198,0,134,4,60
2020-03-01,,鸡西,2.5951720613914993,186.22,46,0,32,0,14
2020-03-01,,双鸭山,2.5900156896994977,146.26,52,0,36,3,13
2020-03-01,,齐齐哈尔,5.060926421658509,536.7,43,0,33,1,9
2020-03-01,,绥化,4.12071732358151,541.64,47,0,35,4,8
2020-03-01,,大庆,2.473642073627001,290.45,26,0,17,1,8
2020-03-01,,牡丹江,4.393969358759507,279.87,14,0,9,0,5
2020-03-01,,七台河,0.7195899007434952,92.04,17,0,13,0,4
2020-03-01,,黑河,8.263022630529491,167.39,14,0,11,0,3
2020-03-01,,鹤岗,1.7530012561344945,105.87,5,0,4,0,1
2020-03-01,,佳木斯,3.8915782083295003,255.21,15,0,15,0,0
2020-03-01,,大兴安岭,8.533878235064,51.16,2,0,2,0,0
2020-03-01,,伊春,3.9424202262624957,114.81,1,0,1,0,0
2020-03-01,,济宁,1.1007525491370038,808.19,260,0,46,0,214
2020-03-01,,德州,1.0487807650745038,556.82,37,0,18,2,17
2020-03-01,,济南,0.8069946027799976,681.4,47,0,31,0,16
2020-03-01,,潍坊,1.616912413494003,908.62,44,0,29,0,15
2020-03-01,,烟台,1.7718148827460014,696.82,47,0,33,0,14
2020-03-01,,淄博,0.6026278706149935,453.06,30,0,21,1,8
2020-03-01,,青岛,1.4768457484110014,871.51,60,0,54,1,5
2020-03-01,,威海,0.7672836086364958,280.48,38,0,33,0,5
2020-03-01,,临沂,1.705721540976006,1003.94,49,0,46,0,3
2020-03-01,,泰安,0.7744917674454983,549.42,35,0,30,2,3
2020-03-01,,滨州,0.9258738253435043,374.85,15,0,12,0,3
2020-03-01,,枣庄,0.4505137748080006,372.93,24,0,22,0,2
2020-03-01,,日照,0.7080454376865023,280.11,16,0,14,0,2
2020-03-01,,聊城,0.8700188337889954,578.99,38,0,37,0,1
2020-03-01,,菏泽,1.2066987455484997,828.78,18,0,17,0,1
2020-03-01,,温州,1.4495038210134883,912.21,504,0,447,1,56
2020-03-01,,台州,1.1963781495364953,596.88,146,0,108,0,38
2020-03-01,,省十里丰监狱,-1,-1,36,0,5,0,31
2020-03-01,,宁波,1.2360499746855056,760.57,157,0,148,0,9
2020-03-01,,绍兴,0.7713904373389949,491.22,42,0,36,0,6
2020-03-01,,杭州,1.576297902280001,870.04,169,0,164,0,5
2020-03-01,,金华,1.0131651361780083,536.16,55,0,51,0,4
